"Periodo(AAAA)","Población"
"1950/12/31",13570943
"1951/12/31",13912947
"1952/12/31",14269792
"1953/12/31",14641427
"1954/12/31",15027963
"1955/12/31",15429614
"1956/12/31",15846569
"1957/12/31",16278927
"1958/12/31",16726382
"1959/12/31",17188568
"1960/12/31",17665037
"1961/12/31",18154322
"1962/12/31",18654499
"1963/12/31",19164082
"1964/12/31",19680870
"1965/12/31",20201643
"1966/12/31",20723588
"1967/12/31",21244248
"1968/12/31",21761690
"1969/12/31",22274200
"1970/12/31",22780007
"1971/12/31",23277852
"1972/12/31",23767130
"1973/12/31",24248669
"1974/12/31",24724874
"1975/12/31",25199544
"1976/12/31",25677586
"1977/12/31",26163065
"1978/12/31",26658672
"1979/12/31",27165971
"1980/12/31",27684385
"1981/12/31",28212667
"1982/12/31",28748586
"1983/12/31",29289744
"1984/12/31",29842691
"1985/12/31",30419892
"1986/12/31",30980812
"1987/12/31",31550132
"1988/12/31",32124173
"1989/12/31",32697847
"1990/12/31",33268154
"1991/12/31",33840991
"1992/12/31",34425915
"1993/12/31",35032308
"1994/12/31",35629174
"1995/12/31",36229830
"1996/12/31",36830574
"1997/12/31",37426532
"1998/12/31",38012359
"1999/12/31",38585016
"2000/12/31",39140080
"2001/12/31",39674811
"2002/12/31",40190679
"2003/12/31",40693254
"2004/12/31",41188093
"2005/12/31",41671878
"2006/12/31",42170126
"2007/12/31",42658630
"2008/12/31",43134017
"2009/12/31",43608630
"2010/12/31",44086292
"2011/12/31",44553416
"2012/12/31",45001571
"2013/12/31",45434942
"2014/12/31",45866010
"2015/12/31",46313898
"2016/12/31",46830116
"2017/12/31",47419200
"2018/12/31",48258494
"2019/12/31",49395678
"2020/12/31",50407647
"2021/12/31",51117378
"2022/12/31",51682692
"2023/12/31",52215503
